,týraly,qazaqstan,aq,ulttyq,jańa,sondaı,halyqaralyq,habarlaıdy,buǵan,atap,pen,boldy,ótti,prezıdenti,dedi,keıin,eń,memlekettik,keteıik,otyr
týraly,0,312,572,375,411,491,338,608,559,469,417,368,423,382,430,394,330,302,446,359
qazaqstan,312,0,337,305,203,318,281,158,240,244,218,230,248,111,199,170,173,157,310,152
aq,572,337,0,326,336,878,301,443,428,385,341,299,368,317,314,298,258,253,385,291
ulttyq,375,305,326,0,227,292,228,238,281,247,231,218,236,145,205,165,186,191,280,181
jańa,411,203,336,227,0,295,203,296,284,274,256,216,260,187,229,212,198,176,249,235
sondaı,491,318,878,292,295,0,279,394,371,354,299,267,337,247,267,261,225,234,341,262
halyqaralyq,338,281,301,228,203,279,0,218,255,254,220,198,257,152,191,143,169,153,251,162
habarlaıdy,608,158,443,238,296,394,218,0,549,392,320,272,307,352,276,318,263,236,302,368
buǵan,559,240,428,281,284,371,255,549,0,344,303,245,294,293,293,294,242,218,326,295
atap,469,244,385,247,274,354,254,392,344,0,283,235,498,247,308,226,214,209,274,238
pen,417,218,341,231,256,299,220,320,303,283,0,211,268,210,229,232,206,168,239,220
boldy,368,230,299,218,216,267,198,272,245,235,211,0,227,147,195,243,218,135,235,175
ótti,423,248,368,236,260,337,257,307,294,498,268,227,0,215,297,214,193,177,267,187
prezıdenti,382,111,317,145,187,247,152,352,293,247,210,147,215,0,235,200,137,139,197,185
dedi,430,199,314,205,229,267,191,276,293,308,229,195,297,235,0,211,198,153,237,198
keıin,394,170,298,165,212,261,143,318,294,226,232,243,214,200,211,0,203,141,222,213
eń,330,173,258,186,198,225,169,263,242,214,206,218,193,137,198,203,0,118,210,220
memlekettik,302,157,253,191,176,234,153,236,218,209,168,135,177,139,153,141,118,0,171,153
keteıik,446,310,385,280,249,341,251,302,326,274,239,235,267,197,237,222,210,171,0,182
otyr,359,152,291,181,235,262,162,368,295,238,220,175,187,185,198,213,220,153,182,0
