query_word,similar_word,similarity
qazaqstan,federatsııasy,0.5348
qazaqstan,ulttyq_quramasynyń,0.5012
qazaqstan,aınalym,0.497
qazaqstan,qazaqstannyń,0.4938
qazaqstan,qazaqstan_fýtbol,0.4934
qazaqstan,qazaqstan_respýblıkasynyń,0.4883
qazaqstan,asia,0.4779
qazaqstan,federatsııasynyń,0.4746
qazaqstan,jomart_toqaev,0.4681
qazaqstan,davıd,0.4597
prezıdenti,burynǵy_vıtse,0.7182
prezıdenti,federıka,0.6905
prezıdenti,gýstavo,0.6801
prezıdenti,mogerını,0.6722
prezıdenti,kamala_harrıs,0.66
prezıdenti,výchıch,0.6597
prezıdenti,eýropalyq_keńestiń,0.6594
prezıdenti,taıyp,0.6544
prezıdenti,itshak,0.6536
prezıdenti,mıgel,0.6522
memlekettik,nagradamen,0.4316
memlekettik,tarıhı_mádenı,0.4246
memlekettik,kirister,0.4241
memlekettik,qyzmetshiler,0.4127
memlekettik,talaptaryn,0.4107
memlekettik,ulttyq_taýarlar,0.4096
memlekettik,jarǵylyq,0.4096
memlekettik,stıpendııa,0.4088
memlekettik,mekemeniń,0.4068
memlekettik,ulttyq_kınony,0.403
halyqaralyq,jahandyq,0.4613
halyqaralyq,boks,0.4535
halyqaralyq,uıymy,0.4352
halyqaralyq,televızııalyq,0.4267
halyqaralyq,baıqaýynyń,0.4244
halyqaralyq,uıym_ókilderi,0.4216
halyqaralyq,festıvaline,0.4187
halyqaralyq,qazaqstannyń_týrıstik,0.4082
halyqaralyq,jobasy,0.4078
halyqaralyq,volonterler,0.4059
ulttyq,mura,0.4306
ulttyq,halyqaralyq_deńgeıde,0.4237
ulttyq,murasyn,0.4172
ulttyq,sportty,0.4133
ulttyq,qolóner,0.4087
ulttyq,kınostýdııasy,0.4062
ulttyq,ónerdi,0.4052
ulttyq,materıaldyq_emes,0.4026
ulttyq,tóraǵasy_gennadıı,0.3945
ulttyq,ulttyq_mýzykalyq,0.3944
adam,alıat,0.6169
adam,quryq,0.5802
adam,baǵytymen,0.5477
adam,jolaýshy,0.5263
adam,jemqorlyqqa,0.5177
adam,kórseqyzar,0.5095
adam,óz_erkimen,0.5086
adam,adamdy,0.5033
adam,beıim,0.4961
adam,óteýden,0.4953
jumys,isteýin,0.558
jumys,isteýine,0.5506
jumys,isteýde,0.5499
jumys,berýshige,0.5458
jumys,kúshiniń,0.5385
jumys,kompanııada,0.525
jumys,isteıtinin,0.5247
jumys,isteıtinine,0.5246
jumys,istelip,0.5227
jumys,isteýden,0.5194
ortalyq,basqarmasyn,0.6291
ortalyq,qolbasshylyǵynyń,0.6122
ortalyq,federaldyq_tergeý,0.6018
ortalyq,seýldiń,0.5924
ortalyq,centcom,0.5824
ortalyq,bóligindegi,0.5757
ortalyq,ok,0.5684
ortalyq,bıýrosynyń,0.567
ortalyq,keńestiń,0.5662
ortalyq,lýıdjı,0.563
tramp,tramptyń,0.6382
tramp,baıden,0.6171
tramp,izraıldi,0.6158
tramp,prezıdent_donald,0.6152
tramp,áskerı_operatsııanyń,0.6086
tramp,zelenskıı,0.6065
tramp,dedi_tramp,0.6038
tramp,aq_úı,0.6037
tramp,tramptan,0.6011
tramp,venesýeladaǵy,0.6006
aqsh,aqsh_tyń,0.5593
aqsh,vashıngton,0.5575
aqsh,aqsh_tan,0.5493
aqsh,marko_rýbıo,0.5487
aqsh,vens,0.5471
aqsh,sırııa,0.5374
aqsh,venesýelanyń,0.5347
aqsh,venesýela,0.5278
aqsh,memlekettik_departamenti,0.5269
aqsh,ýkraına,0.5253
