equation,result_word,score,missing_words
tramp - aqsh + qazaqstan,alem,0.8458,
tramp - aqsh + qazaqstan,jarysqa,0.8319,
tramp - aqsh + qazaqstan,halqyna,0.8213,
tramp - aqsh + qazaqstan,quramasynyń,0.7884,
tramp - aqsh + qazaqstan,qyzdar,0.78,
aqsh - tramp + prezıdenti,meksıka,0.9556,
aqsh - tramp + prezıdenti,ýkraına,0.9548,
aqsh - tramp + prezıdenti,tyń,0.9514,
aqsh - tramp + prezıdenti,federaldyq,0.9479,
aqsh - tramp + prezıdenti,delegatsııasy,0.9476,
jumys + isteý,isteıtin,0.9863,
jumys + isteý,isteýge,0.9741,
jumys + isteý,istegen,0.9731,
jumys + isteý,istedi,0.9656,
jumys + isteý,isteıdi,0.9626,
ulttyq + halyqaralyq,mýzeıinde,0.9446,
ulttyq + halyqaralyq,týrnırde,0.9293,
ulttyq + halyqaralyq,kınony,0.9281,
ulttyq + halyqaralyq,mádenıetti,0.9278,
ulttyq + halyqaralyq,quramanyń,0.9238,
qazaqstan + prezıdenti - aqsh,halqyna,0.8626,
qazaqstan + prezıdenti - aqsh,parlamenti,0.8622,
qazaqstan + prezıdenti - aqsh,jarysqa,0.8621,
qazaqstan + prezıdenti - aqsh,alem,0.8588,
qazaqstan + prezıdenti - aqsh,qyzdar,0.8457,
